EngagementSurvey,DaysLateLast30,Salary,Age,Absences,EmpSatisfaction,YearsOfWork,MaritalDesc,SpecialProjectsCount,PerformanceScore
1.96,3,73653,49,15,4,14,Divorced,2,PIP
4.06,3,175749,69,2,5,9,Single,13,Exceeds
1.69,4,73723,53,23,1,15,Separated,1,PIP
4.2,1,171521,65,2,5,8,Single,11,Exceeds
4.43,1,79291,53,5,5,10,Single,10,Fully Meets
2.73,3,67703,51,10,3,16,Separated,2,PIP
2.48,3,52519,40,3,4,15,Widowed,7,Needs Improvement
2.56,4,69147,50,16,2,6,Divorced,2,PIP
2.63,7,58811,58,4,4,8,Separated,2,PIP
2.38,3,73804,60,7,4,11,Separated,1,PIP
4.38,1,139604,46,3,5,12,Separated,12,Exceeds
4.41,3,65434,51,0,5,14,Married,14,Exceeds
2.88,4,140260,42,4,4,16,Divorced,4,Needs Improvement
2.22,3,76039,57,7,4,14,Widowed,5,Needs Improvement
4.12,0,65891,40,4,5,9,Married,14,Exceeds
4.32,3,49978,52,4,5,9,Divorced,14,Exceeds
3.17,3,80157,45,16,3,9,Separated,7,Needs Improvement
3.14,6,73921,53,25,2,15,Divorced,4,PIP
2.99,6,49286,45,12,2,14,Separated,3,PIP
2.61,3,66421,32,24,2,11,Separated,2,PIP
3.66,2,100136,59,11,4,11,Separated,7,Needs Improvement
2.55,2,145216,50,5,5,17,Divorced,8,Needs Improvement
4.98,1,137093,32,5,5,14,Married,15,Exceeds
2.95,3,126478,53,14,5,9,Separated,7,Needs Improvement
4.74,1,115610,63,9,5,8,Separated,8,Fully Meets
1.14,6,72542,55,14,3,16,Divorced,0,PIP
4.06,0,71719,71,6,5,10,Single,15,Exceeds
4.99,2,193297,47,5,5,11,Married,10,Exceeds
4.82,3,149647,53,5,5,7,Married,10,Fully Meets
3.71,3,115462,46,15,4,15,Widowed,5,Needs Improvement
4.61,2,95843,36,9,4,8,Single,9,Fully Meets
2.81,4,87712,37,14,5,13,Divorced,6,Needs Improvement
4.87,1,148617,37,7,5,10,Single,12,Exceeds
4.75,3,119912,64,9,5,12,Married,8,Fully Meets
4.55,0,181119,69,7,4,11,Single,9,Fully Meets
1.7,6,69847,44,20,2,16,Single,4,PIP
3.09,6,55592,32,21,3,16,Divorced,1,PIP
2.56,3,81841,39,8,4,17,Separated,7,Needs Improvement
4.95,1,96293,56,9,4,11,Married,10,Fully Meets
4.47,2,101633,45,5,5,8,Separated,12,Exceeds
4.97,2,96666,44,7,5,13,Married,8,Fully Meets
2.0,2,95866,56,12,4,16,Separated,7,Needs Improvement
4.16,1,107905,46,5,5,15,Married,14,Exceeds
3.18,3,69215,57,12,2,15,Separated,2,PIP
4.89,2,48544,71,1,5,13,Married,12,Exceeds
4.34,2,205370,41,5,5,8,Married,12,Exceeds
2.37,4,90591,34,12,5,8,Separated,6,Needs Improvement
